Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,EUR=,XAU=,GDX,GLD
2013-03-25,16.556412015,28.16,21.15,12.801,146.11,154.95,1.2851,1604.9,37.67,155.24
2013-03-26,16.469126388000003,28.155,21.765,13.015500000000001,146.54,156.19,1.286,1598.59,37.38,154.72
2013-03-27,16.14569814,28.37,21.83,13.265,147.84,156.19,1.278,1604.79,38.0,155.36
2013-03-28,15.809269905000003,28.605,21.835,13.3245,147.15,156.67,1.2814,1596.17,37.85,154.47
2013-03-29,,,,,,,1.2818,,,
2013-04-01,15.318198967500003,28.61,21.43,13.0805,146.04,156.05,1.2847,1598.4,37.45,154.67
2013-04-02,15.349698936000001,28.8,21.455,13.1661,146.68,156.82,1.2818,1575.24,35.88,152.43
2013-04-03,15.428198857500002,28.56,21.05,12.9515,143.41,155.23,1.285,1557.35,34.25,150.73
2013-04-04,15.275699010000002,28.595,21.135,12.954,142.99,155.86,1.2935,1552.71,35.22,150.29
2013-04-05,15.114270600000001,28.7,20.94,12.774000000000001,143.69,155.158,1.2989,1581.5,35.06,152.81
2013-04-08,15.221770492500001,28.59,21.09,12.9475,143.82,156.21,1.3007,1573.09,34.65,152.16
2013-04-09,15.249270465000002,29.61,21.75,13.057,146.52,156.75,1.3081,1584.7,36.03,153.34
2013-04-10,15.560341582500001,30.28,22.26,13.2385,149.46,158.67,1.3068,1558.14,34.65,150.75
2013-04-11,15.511770202500001,28.935,21.825,13.492500000000001,149.07,159.19,1.3102,1560.74,34.18,151.05
2013-04-12,15.349984650000001,28.79,21.675,13.643500000000001,149.12,158.8,1.3111,1478.35,32.22,143.95
2013-04-15,14.994627862500002,28.69,21.38,13.386000000000003,146.46,155.118,1.3034,1352.75,29.02,131.31
2013-04-16,15.222841920000002,28.97,21.915,13.616999999999999,144.1,157.41,1.3176,1367.79,28.82,132.8
2013-04-17,14.385699900000002,28.825,21.93,13.37,140.6,155.11,1.3028,1376.5,27.38,132.87
2013-04-18,14.001771712500002,28.79,22.24,12.971000000000002,138.6,154.14,1.305,1390.75,28.22,134.3
2013-04-19,13.9474860525,29.765,22.44,13.016,138.72,155.48,1.3051,1403.85,28.59,135.47
2013-04-22,14.238200047500001,30.83,22.88,13.177500000000002,139.52,156.17,1.3066,1425.14,28.97,137.9
2013-04-23,14.504628352500001,30.6,23.375,13.445,142.94,157.78,1.2998,1412.24,28.32,136.88
2013-04-24,14.4807712335,31.76,23.66,13.439,143.93,157.88,1.3015,1430.8,30.23,138.3699
